rank,team,conference,rating,delta_rank,quality_wins,record,week,season,track_type
"1","Air Force","Mountain West","0.500000","","","0-0","15","2024","retro"
"2","Akron","Mid-American","0.500000","","","0-0","15","2024","retro"
"3","Alabama","SEC","0.500000","","","0-0","15","2024","retro"
"4","App State","Sun Belt","0.500000","","","0-0","15","2024","retro"
"5","Arizona","Big 12","0.500000","","","0-0","15","2024","retro"
"6","Arizona State","Big 12","0.500000","","","0-0","15","2024","retro"
"7","Arkansas","SEC","0.500000","","","0-0","15","2024","retro"
"8","Arkansas State","Sun Belt","0.500000","","","0-0","15","2024","retro"
"9","Army","American Athletic","0.500000","","","0-0","15","2024","retro"
"10","Auburn","SEC","0.500000","","","0-0","15","2024","retro"
"11","Ball State","Mid-American","0.500000","","","0-0","15","2024","retro"
"12","Baylor","Big 12","0.500000","","","0-0","15","2024","retro"
"13","Boise State","Mountain West","0.500000","","","0-0","15","2024","retro"
"14","Boston College","ACC","0.500000","","","0-0","15","2024","retro"
"15","Bowling Green","Mid-American","0.500000","","","0-0","15","2024","retro"
"16","Buffalo","Mid-American","0.500000","","","0-0","15","2024","retro"
"17","BYU","Big 12","0.500000","","","0-0","15","2024","retro"
"18","California","ACC","0.500000","","","0-0","15","2024","retro"
"19","Central Michigan","Mid-American","0.500000","","","0-0","15","2024","retro"
"20","Charlotte","American Athletic","0.500000","","","0-0","15","2024","retro"
"21","Cincinnati","Big 12","0.500000","","","0-0","15","2024","retro"
"22","Clemson","ACC","0.500000","","","0-0","15","2024","retro"
"23","Coastal Carolina","Sun Belt","0.500000","","","0-0","15","2024","retro"
"24","Colorado","Big 12","0.500000","","","0-0","15","2024","retro"
"25","Colorado State","Mountain West","0.500000","","","0-0","15","2024","retro"
"26","Duke","ACC","0.500000","","","0-0","15","2024","retro"
"27","East Carolina","American Athletic","0.500000","","","0-0","15","2024","retro"
"28","Eastern Michigan","Mid-American","0.500000","","","0-0","15","2024","retro"
"29","Florida","SEC","0.500000","","","0-0","15","2024","retro"
"30","Florida Atlantic","American Athletic","0.500000","","","0-0","15","2024","retro"
"31","Florida International","Conference USA","0.500000","","","0-0","15","2024","retro"
"32","Florida State","ACC","0.500000","","","0-0","15","2024","retro"
"33","Fresno State","Mountain West","0.500000","","","0-0","15","2024","retro"
"34","Georgia","SEC","0.500000","","","0-0","15","2024","retro"
"35","Georgia Southern","Sun Belt","0.500000","","","0-0","15","2024","retro"
"36","Georgia State","Sun Belt","0.500000","","","0-0","15","2024","retro"
"37","Georgia Tech","ACC","0.500000","","","0-0","15","2024","retro"
"38","Hawai'i","Mountain West","0.500000","","","0-0","15","2024","retro"
"39","Houston","Big 12","0.500000","","","0-0","15","2024","retro"
"40","Illinois","Big Ten","0.500000","","","0-0","15","2024","retro"
"41","Indiana","Big Ten","0.500000","","","0-0","15","2024","retro"
"42","Iowa","Big Ten","0.500000","","","0-0","15","2024","retro"
"43","Iowa State","Big 12","0.500000","","","0-0","15","2024","retro"
"44","Jacksonville State","Conference USA","0.500000","","","0-0","15","2024","retro"
"45","James Madison","Sun Belt","0.500000","","","0-0","15","2024","retro"
"46","Kansas","Big 12","0.500000","","","0-0","15","2024","retro"
"47","Kansas State","Big 12","0.500000","","","0-0","15","2024","retro"
"48","Kennesaw State","Conference USA","0.500000","","","0-0","15","2024","retro"
"49","Kent State","Mid-American","0.500000","","","0-0","15","2024","retro"
"50","Kentucky","SEC","0.500000","","","0-0","15","2024","retro"
"51","Liberty","Conference USA","0.500000","","","0-0","15","2024","retro"
"52","Louisiana","Sun Belt","0.500000","","","0-0","15","2024","retro"
"53","Louisiana Tech","Conference USA","0.500000","","","0-0","15","2024","retro"
"54","Louisville","ACC","0.500000","","","0-0","15","2024","retro"
"55","LSU","SEC","0.500000","","","0-0","15","2024","retro"
"56","Marshall","Sun Belt","0.500000","","","0-0","15","2024","retro"
"57","Maryland","Big Ten","0.500000","","","0-0","15","2024","retro"
"58","Massachusetts","FBS Independents","0.500000","","","0-0","15","2024","retro"
"59","Memphis","American Athletic","0.500000","","","0-0","15","2024","retro"
"60","Miami","ACC","0.500000","","","0-0","15","2024","retro"
"61","Miami (OH)","Mid-American","0.500000","","","0-0","15","2024","retro"
"62","Michigan","Big Ten","0.500000","","","0-0","15","2024","retro"
"63","Michigan State","Big Ten","0.500000","","","0-0","15","2024","retro"
"64","Middle Tennessee","Conference USA","0.500000","","","0-0","15","2024","retro"
"65","Minnesota","Big Ten","0.500000","","","0-0","15","2024","retro"
"66","Mississippi State","SEC","0.500000","","","0-0","15","2024","retro"
"67","Missouri","SEC","0.500000","","","0-0","15","2024","retro"
"68","Navy","American Athletic","0.500000","","","0-0","15","2024","retro"
"69","NC State","ACC","0.500000","","","0-0","15","2024","retro"
"70","Nebraska","Big Ten","0.500000","","","0-0","15","2024","retro"
"71","Nevada","Mountain West","0.500000","","","0-0","15","2024","retro"
"72","New Mexico","Mountain West","0.500000","","","0-0","15","2024","retro"
"73","New Mexico State","Conference USA","0.500000","","","0-0","15","2024","retro"
"74","North Carolina","ACC","0.500000","","","0-0","15","2024","retro"
"75","Northern Illinois","Mid-American","0.500000","","","0-0","15","2024","retro"
"76","North Texas","American Athletic","0.500000","","","0-0","15","2024","retro"
"77","Northwestern","Big Ten","0.500000","","","0-0","15","2024","retro"
"78","Notre Dame","FBS Independents","0.500000","","","0-0","15","2024","retro"
"79","Ohio","Mid-American","0.500000","","","0-0","15","2024","retro"
"80","Ohio State","Big Ten","0.500000","","","0-0","15","2024","retro"
"81","Oklahoma","SEC","0.500000","","","0-0","15","2024","retro"
